,loan_start,interest_rate_yearly,total,principal,interest,minimum_monthly_payment,additional_payment,loan_end
81,3385663.4339511297,0.05495,27876.503030891028,3434.7343741443,15503.517141301214,3938.251515445514,5000,3373290.44806154
82,3373290.44806154,0.05495,27876.503030891028,3491.3923386970473,15446.859176748467,3938.251515445514,5000,3360860.804207397
83,3360860.804207397,0.05495,27876.503030891028,3548.3097495124766,15389.941765933037,3938.251515445514,5000,3348374.2429424394
84,3348374.2429424394,0.05495,26671.749021242795,3003.1107898141454,15332.763720807252,3335.8745106213973,5000,3337035.2576420037
85,3337035.2576420037,0.05495,26671.749021242795,3055.0338933357234,15280.840617285674,3335.8745106213973,5000,3325644.3492380464
86,3325644.3492380464,0.05495,26671.749021242795,3107.1947614021774,15228.67974921922,3335.8745106213973,5000,3314201.279966023
87,3314201.279966023,0.05495,26671.749021242795,3159.5944827769854,15176.280027844412,3335.8745106213973,5000,3302705.8109726245
88,3302705.8109726245,0.05495,26671.749021242795,3212.2341512092553,15123.640359412142,3335.8745106213973,5000,3291157.702310794
89,3291157.702310794,0.05495,26671.749021242795,3265.114865456555,15070.759645164842,3335.8745106213973,5000,3279556.712934716
90,3279556.712934716,0.05495,26671.749021242795,3318.2377293078443,15017.636781313553,3335.8745106213973,5000,3267902.6006947868
91,3267902.6006947868,0.05495,26671.749021242795,3371.60385160652,14964.270659014877,3335.8745106213973,5000,3256195.122332559
92,3256195.122332559,0.05495,26671.749021242795,3425.214346273555,14910.660164347843,3335.8745106213973,5000,3244434.033475664
93,3244434.033475664,0.05495,26671.749021242795,3479.0703323307534,14856.804178290644,3335.8745106213973,5000,3232619.0886327117
94,3232619.0886327117,0.05495,26671.749021242795,3533.1729339241065,14802.70157669729,3335.8745106213973,5000,3220750.041188166
95,3220750.041188166,0.05495,26671.749021242795,3587.5232803472554,14748.351230274142,3335.8745106213973,5000,3208826.643397197
96,3208826.643397197,0.05495,25535.647036353832,3074.0715136205854,14693.75200455633,2767.823518176916,5000,3197984.7483653994
97,3197984.7483653994,0.05495,25535.647036353832,3123.7183579536922,14644.105160223224,2767.823518176916,5000,3187093.2064892687
98,3187093.2064892687,0.05495,25535.647036353832,3173.5925434614746,14594.230974715441,2767.823518176916,5000,3176151.7904276303
