,loan_start,interest_rate_yearly,total,principal,interest,minimum_monthly_payment,additional_payment,loan_end
64,3683429.2946357243,0.05495,24939.888002279135,3072.851357259715,16867.03664501942,0.0,5000.0,3675356.4432784645
65,3675356.4432784645,0.05495,24939.888002279135,3109.8182890998323,16830.069713179302,0.0,5000.0,3667246.6249893648
66,3667246.6249893648,0.05495,24939.888002279135,3146.9544986820038,16792.93350359713,0.0,5000.0,3659099.6704906826
67,3659099.6704906826,0.05495,24939.888002279135,3184.2607611572203,16755.627241121914,0.0,5000.0,3650915.4097295254
68,3650915.4097295254,0.05495,24939.888002279135,3221.737855226016,16718.15014705312,0.0,5000.0,3642693.6718742996
69,3642693.6718742996,0.05495,24939.888002279135,3259.386563154738,16680.501439124397,0.0,5000.0,3634434.285311145
70,3634434.285311145,0.05495,24939.888002279135,3297.207670791853,16642.68033148728,0.0,5000.0,3626137.077640353
71,3626137.077640353,0.05495,24939.888002279135,3335.201967584355,16604.68603469478,0.0,5000.0,3617801.8756727683
72,3617801.8756727683,0.05495,24606.406759634407,3039.8890039495236,16566.517755684883,0.0,5000.0,3609761.9866688186
73,3609761.9866688186,0.05495,24606.406759634407,3076.7049956801093,16529.701763954297,0.0,5000.0,3601685.2816731385
74,3601685.2816731385,0.05495,24606.406759634407,3113.689573972828,16492.71718566158,0.0,5000.0,3593571.5920991655
75,3593571.5920991655,0.05495,24606.406759634407,3150.8435108136473,16455.56324882076,0.0,5000.0,3585420.748588352
76,3585420.748588352,0.05495,24606.406759634407,3188.167581723581,16418.239177910826,0.0,5000.0,3577232.5810066285
77,3577232.5810066285,0.05495,24606.406759634407,3225.662565774888,16380.744193859518,0.0,5000.0,3569006.9184408537
78,3569006.9184408537,0.05495,24606.406759634407,3263.3292456073323,16343.077514027074,0.0,5000.0,3560743.5891952463
79,3560743.5891952463,0.05495,24606.406759634407,3301.1684074445093,16305.238352189897,0.0,5000.0,3552442.420787802
80,3552442.420787802,0.05495,24606.406759634407,3339.1808411102647,16267.225918524142,0.0,5000.0,3544103.239946692
81,3544103.239946692,0.05495,24606.406759634407,3377.3673400451826,16229.039419589224,0.0,5000.0,3535725.8726066467
82,3535725.8726066467,0.05495,24606.406759634407,3415.728701323138,16190.678058311269,0.0,5000.0,3527310.1439053235
83,3527310.1439053235,0.05495,24606.406759634407,3454.2657256679468,16152.14103396646,0.0,5000.0,3518855.8781796554
84,3518855.8781796554,0.05495,24269.4409650474,3156.013422883063,16113.427542164338,0.0,5000.0,3510699.8647567723
85,3510699.8647567723,0.05495,24269.4409650474,3193.3611676820165,16076.079797365384,0.0,5000.0,3502506.5035890904
86,3502506.5035890904,0.05495,24269.4409650474,3230.879934029026,16038.561031018375,0.0,5000.0,3494275.6236550612
87,3494275.6236550612,0.05495,24269.4409650474,3268.5705050602683,16000.870459987133,0.0,5000.0,3486007.053150001
88,3486007.053150001,0.05495,24269.4409650474,3306.4336674980223,15963.007297549379,0.0,5000.0,3477700.619482503
89,3477700.619482503,0.05495,24269.4409650474,3344.4702116671087,15924.970753380292,0.0,5000.0,3469356.149270836
90,3469356.149270836,0.05495,24269.4409650474,3382.680931511366,15886.760033536035,0.0,5000.0,3460973.4683393245
91,3460973.4683393245,0.05495,24269.4409650474,3421.0666246102464,15848.374340437154,0.0,5000.0,3452552.4017147142
92,3452552.4017147142,0.05495,24269.4409650474,3459.6280921954403,15809.81287285196,0.0,5000.0,3444092.773622519
93,3444092.773622519,0.05495,24269.4409650474,3498.366139167618,15771.074825879783,0.0,5000.0,3435594.4074833514
94,3435594.4074833514,0.05495,24269.4409650474,3537.2815741132217,15732.15939093418,0.0,5000.0,3427057.125909238
95,3427057.125909238,0.05495,24269.4409650474,3576.3752093213498,15693.065755726051,0.0,5000.0,3418480.750699917
96,3418480.750699917,0.05495,23928.71427121301,3274.921166966311,15653.7931042467,0.0,5000.0,3410205.8295329507
97,3410205.8295329507,0.05495,23928.71427121301,3312.813410143377,15615.900861069635,0.0,5000.0,3401893.0161228073
98,3401893.0161228073,0.05495,23928.71427121301,3350.879168217325,15577.835102995687,0.0,5000.0,3393542.1369545897
99,3393542.1369545897,0.05495,23928.71427121301,3389.1192357417876,15539.595035471224,0.0,5000.0,3385153.017718848
100,3385153.017718848,0.05495,23928.71427121301,3427.534410908789,15501.179860304223,0.0,5000.0,3376725.483307939
101,3376725.483307939,0.05495,23928.71427121301,3466.1254955654094,15462.588775647602,0.0,5000.0,3368259.3578123734
102,3368259.3578123734,0.05495,23928.71427121301,3504.8932952305204,15423.820975982491,0.0,5000.0,3359754.464517143
103,3359754.464517143,0.05495,23928.71427121301,3543.838619111595,15384.875652101417,0.0,5000.0,3351210.6258980315
104,3351210.6258980315,0.05495,23928.71427121301,3582.96228012161,15345.751991091402,0.0,5000.0,3342627.66361791
105,3342627.66361791,0.05495,23928.71427121301,3622.265094896,15306.449176317012,0.0,5000.0,3334005.398523014
106,3334005.398523014,0.05495,23928.71427121301,3661.7478838097104,15266.966387403301,0.0,5000.0,3325343.6506392043
107,3325343.6506392043,0.05495,23928.71427121301,3701.4114709943224,15227.30280021869,0.0,5000.0,3316642.23916821
108,3316642.23916821,0.05495,23583.92246244283,3396.464875585072,15187.45758685776,0.0,5000.0,3308245.774292625
109,3308245.774292625,0.05495,23583.92246244283,3434.9136876611883,15149.008774781643,0.0,5000.0,3299810.8606049637
110,3299810.8606049637,0.05495,23583.92246244283,3473.5385632559373,15110.383899186894,0.0,5000.0,3291337.3220417076
111,3291337.3220417076,0.05495,23583.92246244283,3512.3403085935133,15071.582153849318,0.0,5000.0,3282824.981733114
112,3282824.981733114,0.05495,23583.92246244283,3551.3197335899476,15032.602728852884,0.0,5000.0,3274273.661999524
113,3274273.661999524,0.05495,23583.92246244283,3590.477651870013,14993.444810572819,0.0,5000.0,3265683.184347654
114,3265683.184347654,0.05495,23583.92246244283,3629.814880784199,14954.107581658633,0.0,5000.0,3257053.36946687
115,3257053.36946687,0.05495,23583.92246244283,3669.332241425791,14914.59022101704,0.0,5000.0,3248384.0372254443
116,3248384.0372254443,0.05495,23583.92246244283,3709.0305586479863,14874.891903794845,0.0,5000.0,3239675.0066667963
117,3239675.0066667963,0.05495,23583.92246244283,3748.9106610811286,14835.011801361703,0.0,5000.0,3230926.096005715
118,3230926.096005715,0.05495,23583.92246244283,3788.9733811499973,14794.949081292834,0.0,5000.0,3222137.122624565
119,3222137.122624565,0.05495,23583.92246244283,3829.21955509118,14754.702907351651,0.0,5000.0,3213307.903069474
120,3213307.903069474,0.05495,23234.729750133047,3520.4573106607495,14714.272439472297,0.0,5000.0,3204787.445758813
121,3204787.445758813,0.05495,23234.729750133047,3559.4739047624826,14675.255845370564,0.0,5000.0,3196227.9718540506
122,3196227.9718540506,0.05495,23234.729750133047,3598.6691623513743,14636.060587781672,0.0,5000.0,3187629.3026916995
123,3187629.3026916995,0.05495,23234.729750133047,3638.0439015573083,14596.685848575738,0.0,5000.0,3178991.2587901424
124,3178991.2587901424,0.05495,23234.729750133047,3677.5989442565206,14557.130805876526,0.0,5000.0,3170313.659845886
125,3170313.659845886,0.05495,23234.729750133047,3717.3351160887632,14517.394634044284,0.0,5000.0,3161596.324729797
126,3161596.324729797,0.05495,23234.729750133047,3757.25324647452,14477.476503658527,0.0,5000.0,3152839.0714833224
127,3152839.0714833224,0.05495,23234.729750133047,3797.3541686323333,14437.375581500713,0.0,5000.0,3144041.71731469
128,3144041.71731469,0.05495,23234.729750133047,3837.638719596198,14397.091030536849,0.0,5000.0,3135204.078595094
129,3135204.078595094,0.05495,23234.729750133047,3878.107740233014,14356.622009900033,0.0,5000.0,3126325.9708548607
130,3126325.9708548607,0.05495,23234.729750133047,3918.762075260165,14315.967674872882,0.0,5000.0,3117407.2087796004
131,3117407.2087796004,0.05495,23234.729750133047,3959.602573263128,14275.127176869919,0.0,5000.0,3108447.6062063375
132,3108447.6062063375,0.05495,22880.76443129895,3646.664767879098,14234.099663419853,0.0,5000.0,3099800.9414384584
133,3099800.9414384584,0.05495,22880.76443129895,3686.259286962011,14194.50514433694,0.0,5000.0,3091114.6821514964
134,3091114.6821514964,0.05495,22880.76443129895,3726.035115946892,14154.729315352059,0.0,5000.0,3082388.6470355494
135,3082388.6470355494,0.05495,22880.76443129895,3765.9930850819983,14114.771346216952,0.0,5000.0,3073622.6539504672
136,3073622.6539504672,0.05495,22880.76443129895,3806.1340284174366,14074.630402881514,0.0,5000.0,3064816.5199220497
137,3064816.5199220497,0.05495,22880.76443129895,3846.4587838225652,14034.305647476385,0.0,5000.0,3055970.061138227
138,3055970.061138227,0.05495,22880.76443129895,3886.968193003486,13993.796238295465,0.0,5000.0,3047083.0929452237
139,3047083.0929452237,0.05495,22880.76443129895,3927.663101520615,13953.101329778336,0.0,5000.0,3038155.4298437033
140,3038155.4298437033,0.05495,22880.76443129895,3968.5443588063263,13912.220072492624,0.0,5000.0,3029186.885484897
141,3029186.885484897,0.05495,22880.76443129895,4009.6128181826934,13871.151613116257,0.0,5000.0,3020177.272666714
142,3020177.272666714,0.05495,22880.76443129895,4050.86933687929,13829.89509441966,0.0,5000.0,3011126.403329835
143,3011126.403329835,0.05495,22880.76443129895,4092.3147760510838,13788.449655247867,0.0,5000.0,3002034.088553784
144,3002034.088553784,0.05495,22521.613773714198,3774.7993432116637,13746.814430502534,0.0,5000.0,2993259.2892105724
145,2993259.2892105724,0.05495,22521.613773714198,3814.9806118707857,13706.633161843412,0.0,5000.0,2984444.3085987014
146,2984444.3085987014,0.05495,22521.613773714198,3855.345877255979,13666.26789645822,0.0,5000.0,2975588.9627214456
147,2975588.9627214456,0.05495,22521.613773714198,3895.895981918913,13625.717791795285,0.0,5000.0,2966693.0667395266
148,2966693.0667395266,0.05495,22521.613773714198,3936.631772269451,13584.982001444747,0.0,5000.0,2957756.434967257
149,2957756.434967257,0.05495,22521.613773714198,3977.5540985933003,13544.059675120898,0.0,5000.0,2948778.880868664
150,2948778.880868664,0.05495,22521.613773714198,4018.6638150697745,13502.949958644424,0.0,5000.0,2939760.217053594
151,2939760.217053594,0.05495,22521.613773714198,4059.961779789617,13461.65199392458,0.0,5000.0,2930700.2552738045
152,2930700.2552738045,0.05495,22521.613773714198,4101.448854772903,13420.164918941295,0.0,5000.0,2921598.8064190317
153,2921598.8064190317,0.05495,22521.613773714198,4143.12590598705,13378.487867727148,0.0,5000.0,2912455.680513045
154,2912455.680513045,0.05495,22521.613773714198,4184.993803364881,13336.619970349317,0.0,5000.0,2903270.68670968
155,2903270.68670968,0.05495,22521.613773714198,4227.053420822789,13294.560352891409,0.0,5000.0,2894043.6332888575
156,2894043.6332888575,0.05495,22156.81795580894,3904.5098183737136,13252.308137435226,0.0,5000.0,2885139.123470484
157,2885139.123470484,0.05495,22156.81795580894,3945.2850529170173,13211.532902891922,0.0,5000.0,2876193.838417567
158,2876193.838417567,0.05495,22156.81795580894,3986.2470040551652,13170.570951753774,0.0,5000.0,2867207.591413512
159,2867207.591413512,0.05495,22156.81795580894,4027.3965267945678,13129.421429014372,0.0,5000.0,2858180.1948867175
160,2858180.1948867175,0.05495,22156.81795580894,4068.734480056846,13088.083475752093,0.0,5000.0,2849111.4604066606
161,2849111.4604066606,0.05495,22156.81795580894,4110.261726696774,13046.556229112166,0.0,5000.0,2840001.1986799636
162,2840001.1986799636,0.05495,22156.81795580894,4151.9791335202735,13004.838822288666,0.0,5000.0,2830849.2195464433
163,2830849.2195464433,0.05495,22156.81795580894,4193.887571302519,12962.93038450642,0.0,5000.0,2821655.3319751406
164,2821655.3319751406,0.05495,22156.81795580894,4235.98791480611,12920.83004100283,0.0,5000.0,2812419.3440603344
165,2812419.3440603344,0.05495,22156.81795580894,4278.281042799326,12878.536913009613,0.0,5000.0,2803141.063017535
166,2803141.063017535,0.05495,22156.81795580894,4320.767838074478,12836.050117734461,0.0,5000.0,2793820.2951794607
167,2793820.2951794607,0.05495,22156.81795580894,4363.449187466327,12793.368768342612,0.0,5000.0,2784456.8459919943
168,2784456.8459919943,0.05495,21785.86284320928,4035.3708692709424,12750.491973938339,0.0,5000.0,2775421.4751227233
169,2775421.4751227233,0.05495,21785.86284320928,4076.7453383764787,12709.117504832802,0.0,5000.0,2766344.7297843467
170,2766344.7297843467,0.05495,21785.86284320928,4118.309268071795,12667.553575137486,0.0,5000.0,2757226.420516275
171,2757226.420516275,0.05495,21785.86284320928,4160.063525928506,12625.799317280775,0.0,5000.0,2748066.356990346
172,2748066.356990346,0.05495,21785.86284320928,4202.008983490989,12583.853859718292,0.0,5000.0,2738864.348006855
173,2738864.348006855,0.05495,21785.86284320928,4244.146516294557,12541.716326914724,0.0,5000.0,2729620.2014905605
174,2729620.2014905605,0.05495,21785.86284320928,4286.477003883756,12499.385839325525,0.0,5000.0,2720333.724486677
175,2720333.724486677,0.05495,21785.86284320928,4329.001329830708,12456.861513378573,0.0,5000.0,2711004.723156846
176,2711004.723156846,0.05495,21785.86284320928,4371.720381753557,12414.142461455724,0.0,5000.0,2701633.0027750926
177,2701633.0027750926,0.05495,21785.86284320928,4414.635051335004,12371.227791874277,0.0,5000.0,2692218.3677237574
178,2692218.3677237574,0.05495,21785.86284320928,4457.74623434091,12328.116608868371,0.0,5000.0,2682760.6214894163
179,2682760.6214894163,0.05495,21785.86284320928,4501.054830638996,12284.808012570285,0.0,5000.0,2673259.566658777
180,2673259.566658777,0.05495,21408.17132272195,4166.870223730302,12241.30109899165,0.0,5000.0,2664092.696435047
181,2664092.696435047,0.05495,21408.17132272195,4208.846850296468,12199.324472425484,0.0,5000.0,2654883.8495847504
182,2654883.8495847504,0.05495,21408.17132272195,4251.015694831784,12157.155627890168,0.0,5000.0,2645632.8338899184
183,2645632.8338899184,0.05495,21408.17132272195,4293.377637534368,12114.793685187584,0.0,5000.0,2636339.456252384
184,2636339.456252384,0.05495,21408.17132272195,4335.93356263291,12072.237760089041,0.0,5000.0,2627003.522689751
185,2627003.522689751,0.05495,21408.17132272195,4378.684358405135,12029.486964316817,0.0,5000.0,2617624.838331346
186,2617624.838331346,0.05495,21408.17132272195,4421.630917196331,11986.54040552562,0.0,5000.0,2608203.20741415
187,2608203.20741415,0.05495,21408.17132272195,4464.774135437992,11943.39718728396,0.0,5000.0,2598738.433278712
188,2598738.433278712,0.05495,21408.17132272195,4508.114913666517,11900.056409055434,0.0,5000.0,2589230.3183650454
189,2589230.3183650454,0.05495,21408.17132272195,4551.654156542016,11856.517166179936,0.0,5000.0,2579678.6642085034
190,2579678.6642085034,0.05495,21408.17132272195,4595.392772867181,11812.778549854771,0.0,5000.0,2570083.271435636
191,2570083.271435636,0.05495,21408.17132272195,4639.331675606269,11768.839647115683,0.0,5000.0,2560443.93976003
192,2560443.93976003,0.05495,21023.092833129165,4298.393292311361,11724.699540817803,0.0,5000.0,2551145.546467718
193,2551145.546467718,0.05495,21023.092833129165,4340.972184929071,11682.120648200093,0.0,5000.0,2541804.574282789
194,2541804.574282789,0.05495,21023.092833129165,4383.746053392559,11639.346779736605,0.0,5000.0,2532420.8282293966
195,2532420.8282293966,0.05495,21023.092833129165,4426.715790528719,11596.377042600445,0.0,5000.0,2522994.112438868
196,2522994.112438868,0.05495,21023.092833129165,4469.882293252849,11553.210539876314,0.0,5000.0,2513524.230145615
